SF,Pattern,query_number,Run,visual_name,p50
10,DL_Mirror,5,1,Card,1218.141794204712
10,DL_Mirror,5,2,Card,1423.830270767212
10,DL_Mirror,5,3,Card,233.13379287719727
10,DL_Mirror,6,1,Store Revenue Time Analysis,3467.9975509643555
10,DL_Mirror,6,2,Store Revenue Time Analysis,4093.2633876800537
10,DL_Mirror,6,3,Store Revenue Time Analysis,1097.8610515594482
10,DL_Mirror,7,1,Slicer,47.76597023010254
10,DL_Mirror,7,2,Slicer,53.2991886138916
10,DL_Mirror,7,3,Slicer,53.39550971984863
10,DL_Mirror,8,1,Slicer,52.62184143066406
10,DL_Mirror,8,2,Slicer,56.63275718688965
10,DL_Mirror,8,3,Slicer,54.60476875305176
10,DL_Mirror,9,1,Catalog Sales Quantity YoY,337.1882438659668
10,DL_Mirror,9,2,Catalog Sales Quantity YoY,376.0247230529785
10,DL_Mirror,9,3,Catalog Sales Quantity YoY,329.7562599182129
10,DL_Mirror,10,1,Store Profit % Split by Category,217.36454963684082
10,DL_Mirror,10,2,Store Profit % Split by Category,223.69956970214844
10,DL_Mirror,10,3,Store Profit % Split by Category,195.80793380737305
10,DL_Mirror,11,1,Slicer,58.573007583618164
10,DL_Mirror,11,2,Slicer,53.88283729553223
10,DL_Mirror,11,3,Slicer,51.30767822265625
10,DL_Mirror,12,1,Catalog Revenue Ranked by Promotion,196.9141960144043
10,DL_Mirror,12,2,Catalog Revenue Ranked by Promotion,194.26274299621582
10,DL_Mirror,12,3,Catalog Revenue Ranked by Promotion,182.753324508667
10,DL_Mirror,13,1,Card,199.59688186645508
10,DL_Mirror,13,2,Card,208.6012363433838
10,DL_Mirror,13,3,Card,187.1182918548584
10,DL_Mirror,14,1,Store Revenue Time Analysis,812.3321533203125
10,DL_Mirror,14,2,Store Revenue Time Analysis,1141.0608291625977
10,DL_Mirror,14,3,Store Revenue Time Analysis,562.288761138916
10,DL_Mirror,15,1,Slicer,52.92820930480957
10,DL_Mirror,15,2,Slicer,53.76076698303223
10,DL_Mirror,15,3,Slicer,53.82800102233887
10,DL_Mirror,16,1,Slicer,51.183462142944336
10,DL_Mirror,16,2,Slicer,50.804853439331055
10,DL_Mirror,16,3,Slicer,55.71770668029785
10,DL_Mirror,17,1,Slicer,48.89798164367676
10,DL_Mirror,17,2,Slicer,56.05363845825195
10,DL_Mirror,17,3,Slicer,51.65362358093262
10,DL_Mirror,18,1,Slicer,45.701026916503906
10,DL_Mirror,18,2,Slicer,56.79440498352051
10,DL_Mirror,18,3,Slicer,49.24440383911133
10,DL_Mirror,19,1,Catalog Sales Quantity YoY,1049.0984916687012
